SIPRI Transfers Database 


 Database search results for buyer 'All Countries' and seller  'All Countries' and the years from 1991 to 2000 - (created: 09-03-2020)

Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
30898;Switzerland;Ghana;Piranha;APC;Armoured vehicles;1998;Yes;3;Yes;1999;No;New;0.2600;0.2600;0.78;No
54313;China;Ecuador;Red Arrow-8;Anti-tank missile;Missiles;1993;Yes;50;Yes;1994;Yes;New;0.0100;0.0100;0.5;No
52399;United Kingdom;France;Tyne;Turboprop;Engines;1984;No;10;Yes;1993;No;New;1.5000;1.5000;15;No
21926;United Kingdom;Spain;Racal-2459;Sea search radar;Sensors;1988;Yes;1;No;1991;Yes;New;0.5000;0.5000;0.5;No
53573;Soviet Union;Croatia;AK-630 30mm;Naval gun;Naval weapons;1989;Yes;1;No;1991;No;New;1.0000;1.0000;1;No
21252;Spain;Angola;Alcotan-30;Patrol craft;Ships;1991;No;1;No;1994;No;New;5.6000;5.6000;5.6;No
21252;Spain;Angola;Alcotan-30;Patrol craft;Ships;1991;No;3;No;1993;No;New;5.6000;5.6000;16.8;No
24895;United States;Argentina;Bell-205/UH-1H;Helicopter;Aircraft;1996;No;2;No;1999;No;Second hand;2.6200;1.048;2.096;No
23316;United States;Japan;Patriot;SAM system;Air defence systems;1994;Yes;1;No;1995;Yes;New;47.0000;47.0000;47;No
24455;United States;Jordan;TPQ-37 Firefinder;Arty locating radar;Sensors;1995;No;2;No;1996;Yes;Second hand;8.0000;3.2;6.4;No
24456;United States;Jordan;TPQ-36 Firefinder;Arty locating radar;Sensors;1995;No;3;No;1996;Yes;Second hand;3.0000;1.2;3.6;No
23325;Italy;Finland;Bell-412;Helicopter;Aircraft;1995;No;1;No;1996;Yes;New;5.0000;5.0000;5;No
