"Data Source","World Development Indicators",

"Last Updated Date","2019-01-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","981607427.198877","1139434503.72889","1351923640.91077","1515909822.86634","1575961100.76557","1701452873.81139","1801538336.97676","1933189215.44814","2091786180.15635","2145066958.3561","2170502947.57596","2323455516.53157","2369738480.01402","2399076773.30305","2581804607.81403","2505092558.00282","2423084673.45471","2470953856.9732","2666444969.3824","2698824912.71875","2727178946.35418","2776274326.82278","2773756030.74943","2481963897.09079","2390502793.29609","2472880828.36298","2439005748.52239","2541400876.22235","2562957745.21181","2551409422.53889","2546020205.29152","2579895285.13211","",
"Afghanistan","AFG","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7465114629.45783","8124454291.89637","8239343660.83276","9164598458.53793","9655582953.98019","10990594706.5564","11421973770.8233","13865194314.7185","15856574731.4411","15924179997.7914","17954877146.6564","18960483969.8941","19477070577.8584","19759744157.4377","20206376461.4103","20744935406.0955","",
"Angola","AGO","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","26521449164.7599","25354505078.1181","25354505078.1181","26419394653.548","28004558904.5751","28984718323.2816","29825275659.7594","31042966695.0871","32945556124.3923","32959268546.464","31822141256.2167","32137613010.4509","30261328943.3977","23003628103.4136","23311730287.4092","26808489836.7909","30439530825.3477","32653786720.2122","34185623674.9564","34931379545.117","35998401929.8754","37512494194.4879","42638834053.5688","43913671240.4937","48723474948.0326","56046084738.6307","62518109040.705","71276907517.7744","79235785611.2942","79916193296.1949","83799496611.6049","86708999528.823","94115810020.6707","98778862980.2076","103542597665.682","104519600366.385","101822893038.982","101673002182.778","",
"Albania","ALB","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","5443185627.89309","5755931222.33876","5925650426.26114","5991125205.08301","5916140483.03651","6021485881.19936","6360931683.26667","6310817550.20966","6221201438.45319","6833152964.49861","6178834824.38762","4350579530.23299","4037337804.65816","4424922235.73851","4792190780.41217","5429552153.84103","5923641400.25952","5276779759.35118","5742719412.10189","6482955944.32183","6933521382.45219","7508310305.05748","7849187592.90709","8283247666.79486","8739654613.23524","9222957513.34716","9767112006.63463","10351185304.6314","11127524202.4788","11500296263.2618","11926957254.6288","12231094664.6218","12404776208.8595","12528823970.9481","12750584155.2338","13033647123.48","13470274302.1166","13986932578.969","",
"Andorra","AND","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","1022930411.1163","1070491206.24643","1157733493.6236","1247903187.07193","1318020243.18285","1325166623.52504","1368947306.81745","1407805910.58157","1428402113.57242","1428995717.42599","1460558340.33864","1458623472.81247","1476804647.19237","1502945836.75764","1529768711.11779","1565281267.29392","1616204903.65455","1705857764.18649","1792759723.25732","1879296849.01283","1950360346.83369","2000016577.27601","2018600970.43982","1997779424.18469","2045390257.51495","2101791877.24365","2199519738.00303","2398964977.79976","2475606878.11635","2577084005.24761","2668012839.88281","2789321202.45229","2969818586.67949","3331207491.64175","3585973903.04456","3851227772.83026","4025933064.029","4027543882.80023","3681577710.754","3545703433.76383","3355695364.23841","3199771534.45741","3148088242.81882","3159158337.77854","3231113955.01675","3258326510.42858","3319880351.13342","3382068237.52481","",
"Arab World","ARB","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","569485107273.744","659577872461.36","713910434384.815","709176071704.001","790968556660.903","863257109312.633","888445289609.064","807831733691.116","752588599311.9","762895135920.879","745408273445.63","780482991134.404","776625607086.553","820172549659.132","839610410548.419","949696696838.545","964146007271.872","1012244141639.74","1045280246375.16","1078771961893.74","1108381922357.14","1159613199361.27","1209321027431.15","1273629387818.01","1297204769584.54","1368073542297.28","1390284617958.43","1399070248365.51","1473329121287.03","1610879690303.25","1703037590690.69","1813461735747.82","1895701827510.01","2004929498360.26","2014266693130.79","2109932335481.52","2186060984368.27","2332433454638.1","2405557864766.18","2464565376507.44","2546942819373.95","2629524858918.58","2655209611859.68","",
"United Arab Emirates","ARE","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","56806673982.3009","66195031477.1953","80386802831.8584","79108971545.2688","95661395017.0183","118500337753.574","124021477848.877","115688082614.023","110197733641.933","114624322913.547","110504178543.227","93974812607.2158","97153023580.6671","94608675561.6065","106281391095.984","125760629081.007","126842273546.63","131085077658.271","132738310796.46","141892141892.444","151381727243.022","160159451463.581","173277148999.319","173783108481.96","178826665568.414","198234194635.807","201007659577.944","205899094159.292","224019327978.216","245449995044.248","257366938869.98","282684947637.849","291686739332.879","300996902491.491","285215869952.349","289787338325.391","309870388019.061","323766916269.571","340127978216.474","355089176310.415","373073383253.914","384222464261.402","387259360108.918","",
"Argentina","ARG","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","115573868508.15","121847036500.547","120808873523.837","114396100733.294","125984766250.65","139300642138.499","138381639345.114","142798776600.374","149685248718.023","164174071297.927","169174227931.948","178746327507.296","181657062226.624","186764812014.466","197100011389.723","197044011131.933","193067167388.744","206454730042.606","197151622246.269","217305966255.665","220606374392.254","209157368731.779","207618683386.485","216648213592.787","220051190931.379","208632681046.742","221470636587.663","227461126795.486","224981952135.064","208880107086.685","203726588308.536","222333162871.504","239980394235.249","259675534967.549","274830720366.623","267011210297.951","281768091694.844","304622433397.251","316350941905.026","305641016669.195","303229512290.352","289860609223.184","258281789127.305","281106256200.528","306488951656.956","333618311350.415","360465082297.96","392934518437.813","408876787794.809","384677312577.801","423627422092.49","449061807872.401","444452545623.356","455143068397.581","443707073929.401","455825423287.839","447517812725.52","460292057147.949","",
"Armenia","ARM","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6357857589.72256","5613988348.08605","3267341064.55076","2979815090.27954","3140725187.90154","3357435176.13861","3554362204.25113","3672405405.76911","3940490999.9586","4070527203.11311","4310688308.03982","4722645335.98072","5345387542.90141","6095922452.64277","6734033974.85163","7667755681.51717","8679746345.92189","9873142200.51879","10554389012.5207","9060944166.21841","9260284937.79782","9695518329.74636","10393595649.8063","10736584306.25","11123101341.2749","11479040584.1958","11501998665.3641","12364648565.2664","",
"American Samoa","ASM","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","623365638.76652","628440528.634361","631823788.546256","629286343.612335","603066079.295154","614907488.986784","598837004.405287","573462555.066079","576000000","577691629.955947","552317180.61674","537092511.013216","542167400.881057","548933920.704846","534555066.079295","505797356.828194","",
