country_A	country_B	quote1890	quote1900	quote1910	colony	dist	bitrade	gold	debtburden	rlong	rshort1900	rshort1890	rgdp	rgdpcap	poldemo	coverage	gold_B	debtburden_B	rlong_B	rshort1900_B	rshort1890_B	rgdp_B	rgdpcap_B	poldemo_B
"ARG"	"AUH"	0	0	0	0	9.374816	5909.76	1	6.844985	7.01	7.06	9.33	16.37536	7.92154	.3	1.94591	1	5.222065	4.01	4.58	4.48	18.14368	7.39388	.87
"ARG"	"AUS"	0	0	0	0	9.360207	1258.74	1	6.844985	7.01	7.06	9.33	16.37536	7.92154	.3	1.94591	1	6.06592	3.12	5.5	7	16.5244	8.29729	6.37
"ARG"	"BEL"	1	1	1	0	9.33078	127361.2	1	6.844985	7.01	7.06	9.33	16.37536	7.92154	.3	1.94591	1	4.882136	3.15	4.09	3.18	17.02921	8.22443	10.66
"ARG"	"BRA"	0	1	1	0	7.613854	65335.41	1	6.844985	7.01	7.06	9.33	16.37536	7.92154	.3	1.94591	0	5.516892	6.97	9.2	6.3	16.31639	6.51915	.22
"ARG"	"CAN"	0	0	0	0	9.105001	5073.84	1	6.844985	7.01	7.06	9.33	16.37536	7.92154	.3	1.94591	1	6.784091	3.61	6.5	6.5	16.58091	7.97625	8.58
"ARG"	"CEY"	0	0	0	0	9.600443	0	1	6.844985	7.01	7.06	9.33	16.37536	7.92154	.3	1.94591	1	1.362319	3.25			15.4342	7.1624	0
"ARG"	"CHE"	0	0	0	0	9.329182	16823.72	1	6.844985	7.01	7.06	9.33	16.37536	7.92154	.3	1.94591	1	.91	3.08	4.29	3.89	16.35308	8.2514	5.6
"ARG"	"CHL"	0	0	0	0	7.10081	4928.04	1	6.844985	7.01	7.06	9.33	16.37536	7.92154	.3	1.94591	0	2.939891	5.6	7	8.1	15.57273	7.57507	1.78
"ARG"	"CHN"	0	0	0	0	9.886238	0	1	6.844985	7.01	7.06	9.33	16.37536	7.92154	.3	1.94591	0	4.340557	6.1	6	7	19.20001	6.30079	0
"ARG"	"COL"	0	0	0	0	8.440013	0	1	6.844985	7.01	7.06	9.33	16.37536	7.92154	.3	1.94591	0	.1861702	10.3	9.5	9.5	15.17393	6.88038	0
